#,Entity,QRank,Label
1,Q178995,219893853,"HTTP cookie"
2,Q635,113674399,"Cleopatra"
3,Q866,93345399,"YouTube"
4,Q110999040,84175989,"2022 Russian invasion of Ukraine"
5,Q212,73967199,"Ukraine"
6,Q30,66315544,"United States of America"
7,Q7747,64847322,"Vladimir Putin"
8,Q106582931,51022028,"Squid Game"
9,Q317521,48207647,"Elon Musk"
10,Q159,48042429,"Russia"
11,Q7184,47889362,"North Atlantic Treaty Organization"
12,Q4740163,46918042,"Carles Puigdemont"
13,Q107528356,42181746,"Deaths in 2022"
14,Q11571,41534300,"Cristiano Ronaldo"
15,Q68934496,41097856,"Spider-Man: No Way Home"
16,Q1845,41073134,"Bible"
17,Q9682,39281339,"Elizabeth II"
18,Q95,36085705,"Google"
19,Q362,35764514,"World War II"
20,Q3874799,34646277,"Volodymyr Zelenskyy"
21,Q37175,33802301,"Johnny Depp"
22,Q209330,32485305,"Instagram"
23,Q355,32312120,"Facebook"
24,Q229166,32085042,"Amber Heard"
25,Q361,29944604,"World War I"
26,Q15180,29227418,"Soviet Union"
27,Q5269211,28588243,"Wikipedia:Featured pictures"
28,Q52,28048124,"Wikipedia"
29,Q19798734,26964198,"Stranger Things"
30,Q284163,26838818,"2022 FIFA World Cup"
31,Q352,26836366,"Adolf Hitler"
32,Q60834962,26765810,"Dune"
33,Q668,26233645,"India"
34,Q183,26091164,"Germany"
35,Q145,26090085,"United Kingdom"
36,Q9334,26006601,"Gmail"
37,Q10693,25740909,"periodic table"
38,Q15860072,25568478,"Russo-Ukrainian War"
39,Q64211112,24638396,"Doctor Strange in the Multiverse of Madness"
40,Q142,24396784,"France"
41,Q1049511,24281872,"WhatsApp"
42,Q11255,24203999,"Microsoft Office"
43,Q189489,23878343,"Zendaya"
44,Q135622,23794885,"Google Translate"
45,Q23894629,23652949,"Eternals"
46,Q148,23468771,"People's Republic of China"
47,Q17,23408643,"Japan"
48,Q17982,23150477,"Skathi"
49,Q615,23125733,"Lionel Messi"
50,Q865,22867251,"Taiwan"
51,Q21534241,22846508,"No Time to Die"
52,Q104214723,22707999,"Deaths in 2021"
53,Q303,22635145,"Elvis Presley"
54,Q61117344,22162552,"The Batman"
55,Q55080956,21741903,"Anna Sorokin"
56,Q37079,21650267,"Tom Cruise"
57,Q15869,21602788,"Freddie Mercury"
58,Q907311,21599386,"Netflix"
59,Q16148930,21198975,"list of Marvel Cinematic Universe films"
60,Q31202708,20987355,"Top Gun: Maverick"
61,Q2831,20910356,"Michael Jackson"
62,Q18756,20791072,"UEFA Champions League"
63,Q10132,20406509,"Rafael Nadal"
64,Q2023710,20308261,"Tom Holland"
65,Q380,20292323,"Meta Platforms"
66,Q1141479,20141583,"Voice of Vietnam"
67,Q1860,20009656,"English"
68,Q43,19880937,"Turkey"
69,Q75,19725397,"Internet"
70,Q99,19218897,"California"
71,Q486,19128945,"Chernobyl disaster"
72,Q13580495,19122371,"BTS"
73,Q10806,19026723,"September 11 attacks"
74,Q642878,18839016,"Marvel Cinematic Universe"
75,Q16,18807536,"Canada"
76,Q56275505,18690896,"Euphoria"
77,Q29647346,18678230,"Money Heist"
78,Q458,18649338,"European Union"
79,Q1406,18544368,"Microsoft Windows"
80,Q85847363,18535695,"Stranger Things, season 4"
81,Q65768589,18372883,"Shang-Chi and the Legend of the Ten Rings"
82,Q936394,18088275,"Pornhub"
83,Q6279,17930570,"Joe Biden"
84,Q38,17727629,"Italy"
85,Q14944179,17604695,"Peaky Blinders"
86,Q46,17587585,"Europe"
87,Q408,17546099,"Australia"
88,Q595841,17206297,"member state of NATO"
89,Q94,17172536,"Android"
90,Q43416,17160240,"Keanu Reeves"
91,Q712280,17064631,"list of countries and dependencies by population"
92,Q29,16958399,"Spain"
93,Q855,16881633,"Joseph Stalin"
94,Q132345,16763490,"Shinzō Abe"
95,Q19877770,16722879,"Timothée Chalamet"
96,Q36,16704314,"Poland"
97,Q38111,16703808,"Leonardo DiCaprio"
98,Q4616,16428057,"Marilyn Monroe"
99,Q3884,16366405,"Amazon"
100,Q65768604,16347585,"Thor: Love and Thunder"
